original_name,pinyin_name,new_filename,mass_kg
left_wheel\2026飞卡轮腿 - left_wheel-2 轮腿车轮-1.STL,2026_fei_ka_lun_tui____left_wheel_2__lun_tui_che_lun__1,2026_fei_ka_lun_tui____left_wheel_2__lun_tui_che_lun__1.stl,0.0472
left_wheel\2026飞卡轮腿 - left_wheel-2 轮腿驱动轮-1.STL,2026_fei_ka_lun_tui____left_wheel_2__lun_tui_qu_dong_lun__1,2026_fei_ka_lun_tui____left_wheel_2__lun_tui_qu_dong_lun__1.stl,0.0681
