轮腿大腿,12.4
轮腿小腿,9.1
轮腿驱动轮,68.1
轮腿车轮,47.2
轮腿髋关节电机,89.3
轮腿髋关节减速箱,153.5
轮腿髋关节电机固定,25
轮腿髋关节减速箱固定,30
轮腿车身,35
轮腿模拟天线,57.6
轮腿负载,180.3
