original_name,pinyin_name,new_filename,mass_kg
right_wheel\2026飞卡轮腿 - right_wheel-3 轮腿车轮-1.STL,2026_fei_ka_lun_tui____right_wheel_3__lun_tui_che_lun__1,2026_fei_ka_lun_tui____right_wheel_3__lun_tui_che_lun__1.stl,0.0472
right_wheel\2026飞卡轮腿 - right_wheel-3 轮腿驱动轮-1.STL,2026_fei_ka_lun_tui____right_wheel_3__lun_tui_qu_dong_lun__1,2026_fei_ka_lun_tui____right_wheel_3__lun_tui_qu_dong_lun__1.stl,0.0681
